Age,Income,Employment_Length,Home_Ownership,Debt_to_Income,Credit_Score,Delinquencies_2yrs,Public_Records,Loan_Status,Loan_ID,Loan_Amount,Loan_Term,Loan_Purpose,Revolving_Utilization,Denial_Reason
42,65144.0,15.0,MORTGAGE,19.765636189989383,746,0,0,1,LP0001,17208,60,medical,16.67464512947744,
44,,4.0,RENT,49.16564520587039,626,1,1,0,LP0002,3550,36,debt_consolidation,53.905244551602564,High DTI
59,,0.0,RENT,40.297626671569496,454,2,1,0,LP0003,13643,60,car,72.61489738939362,Low Credit Score
46,58033.0,3.0,RENT,25.0,497,2,1,0,LP0004,14022,60,car,77.20429909588866,Low Credit Score
29,40000.0,11.0,OWN,22.81622493693272,701,2,0,1,LP0005,7657,36,debt_consolidation,14.191428419096976,
48,20000.0,,RENT,30.401628659164132,479,3,0,0,LP0006,6059,60,home_improvement,89.86020246277673,Low Credit Score
30,120066.0,10.0,MORTGAGE,20.22309686200706,713,0,0,1,LP0007,28333,12,debt_consolidation,13.225258666296709,
30,40000.0,18.0,MORTGAGE,20.06117269928356,776,0,0,1,LP0008,17934,48,debt_consolidation,27.3037646435419,
34,22346.0,1.0,RENT,35.94065344529509,524,2,0,0,LP0009,5061,36,debt_consolidation,53.18645035417155,Low Credit Score
31,76893.0,6.0,OWN,8.877795566617687,734,0,0,1,LP0010,12308,24,car,12.246373588638928,
47,,0.0,RENT,35.74986642539082,535,2,1,0,LP0011,2932,12,debt_consolidation,50.22650791145123,Low Credit Score
38,60206.0,22.0,OWN,14.191558968832007,772,0,0,1,LP0012,17876,48,debt_consolidation,19.85443456006676,
44,40000.0,2.0,OWN,11.059076449128966,671,1,0,1,LP0013,9752,12,debt_consolidation,11.372861284083022,
55,20000.0,,RENT,36.13044099283849,554,2,1,0,LP0014,3142,12,medical,44.45417975138083,Low Credit Score
50,20000.0,3.0,RENT,39.70908367837018,533,1,0,0,LP0015,8378,24,home_improvement,58.14981557064936,Low Credit Score
44,32229.0,2.0,RENT,39.47469859622137,556,5,0,0,LP0016,11819,48,home_improvement,82.93114327607496,Low Credit Score
38,50687.0,10.0,OWN,27.358739093469623,733,1,0,1,LP0017,15063,12,home_improvement,16.08814050061425,
50,24221.0,0.0,OTHER,44.698944943215224,545,1,2,0,LP0018,10570,24,home_improvement,72.6909266295575,Low Credit Score
55,33784.0,0.0,OTHER,42.68462322967187,558,3,1,0,LP0019,12373,36,car,66.25545279299763,Low Credit Score
36,40000.0,23.0,MORTGAGE,19.48563676059702,808,0,0,1,LP0020,8708,24,car,7.969419094701307,
33,90151.0,29.0,OWN,21.486565194561994,739,0,0,1,LP0021,17676,60,debt_consolidation,6.540193901562126,
40,52383.0,2.0,MORTGAGE,22.97490834396177,746,0,0,1,LP0022,19999,24,car,18.97857223932679,
41,50407.0,11.0,MORTGAGE,17.2313121383639,800,0,0,1,LP0023,17120,24,home_improvement,21.826828223205798,
38,58133.0,18.0,MORTGAGE,26.04537086236641,670,0,0,1,LP0024,18426,24,medical,13.876205075707968,
42,63632.0,20.0,MORTGAGE,21.209077651208457,745,0,0,1,LP0025,13703,12,debt_consolidation,12.489021041380855,
43,104194.0,9.0,MORTGAGE,23.055382287755393,753,0,0,1,LP0026,37592,48,debt_consolidation,10.898547030471534,
34,40000.0,6.0,MORTGAGE,16.8971376625958,683,0,0,1,LP0027,8978,24,home_improvement,9.159940380781476,
43,,,RENT,25.0,549,0,0,0,LP0028,5876,24,home_improvement,57.58091000355196,Low Credit Score
42,20152.0,,OTHER,29.68450254315722,458,2,2,0,LP0029,8961,60,home_improvement,82.59216603562429,Low Credit Score
41,20000.0,4.0,RENT,39.531400223902125,530,2,2,0,LP0030,4678,60,car,60.477291608064434,Low Credit Score
26,102673.0,20.0,OWN,16.031952813257032,724,1,0,1,LP0031,14651,36,debt_consolidation,5.8709712905350555,
